workload,namespace,kind,owner,team,tier,data_class,description
platform/sealed-secrets,platform,Deployment,platform,platform,tier-1,internal,sealed secrets in platform
platform/harbor-core,platform,Deployment,platform,platform,tier-1,internal,harbor core in platform
platform/harbor-registry,platform,StatefulSet,platform,platform,tier-1,internal,harbor registry in platform
platform/harbor-jobservice,platform,Deployment,platform,platform,tier-1,internal,harbor jobservice in platform
platform/gitops-notifier,platform,Deployment,platform,platform,tier-1,internal,gitops notifier in platform
platform/cost-exporter,platform,Deployment,platform,platform,tier-1,internal,cost exporter in platform
platform/chargeback,platform,Deployment,platform,platform,tier-1,internal,chargeback in platform
platform/quota-manager,platform,Deployment,platform,platform,tier-1,internal,quota manager in platform
platform/namespace-provisioner,platform,Deployment,platform,platform,tier-1,internal,namespace provisioner in platform
platform/rbac-sync,platform,Deployment,platform,platform,tier-1,internal,rbac sync in platform
platform/ldap-sync,platform,Deployment,platform,platform,tier-1,internal,ldap sync in platform
platform/sso-gateway,platform,Deployment,platform,platform,tier-1,internal,sso gateway in platform
platform/pki-issuer,platform,Deployment,platform,platform,tier-1,internal,pki issuer in platform
platform/kms-proxy,platform,Deployment,platform,platform,tier-1,internal,kms proxy in platform
platform/s3-gateway,platform,Deployment,platform,platform,tier-1,internal,s3 gateway in platform
platform/nfs-provisioner,platform,Deployment,platform,platform,tier-1,internal,nfs provisioner in platform
platform/csi-controller,platform,DaemonSet,platform,platform,tier-1,internal,csi controller in platform
platform/snapshot-controller,platform,Deployment,platform,platform,tier-1,internal,snapshot controller in platform
platform/velero,platform,Deployment,platform,platform,tier-1,internal,velero in platform
platform/backup-scheduler,platform,Deployment,platform,platform,tier-1,internal,backup scheduler in platform
platform/restore-worker,platform,Deployment,platform,platform,tier-1,internal,restore worker in platform
platform/dr-replicator,platform,Deployment,platform,platform,tier-1,internal,dr replicator in platform
platform/audit-forwarder,platform,Deployment,platform,platform,tier-1,internal,audit forwarder in platform
platform/syslog-relay,platform,Deployment,platform,platform,tier-1,internal,syslog relay in platform
platform/ntp,platform,Deployment,platform,platform,tier-1,internal,ntp in platform
platform/dhcp-relay,platform,Deployment,platform,platform,tier-1,internal,dhcp relay in platform
platform/ipam,platform,Deployment,platform,platform,tier-1,internal,ipam in platform
platform/bgp-speaker,platform,Deployment,platform,platform,tier-1,internal,bgp speaker in platform
platform/service-mesh-control,platform,Deployment,platform,platform,tier-1,internal,service mesh control in platform
platform/mesh-gateway,platform,Deployment,platform,platform,tier-1,internal,mesh gateway in platform
platform/egress-gateway,platform,Deployment,platform,platform,tier-1,internal,egress gateway in platform
platform/nat-gateway,platform,Deployment,platform,platform,tier-1,internal,nat gateway in platform
platform/bastion,platform,Deployment,platform,platform,tier-1,internal,bastion in platform
platform/jump-host,platform,Deployment,platform,platform,tier-1,internal,jump host in platform
platform/runbook-executor,platform,Deployment,platform,platform,tier-1,internal,runbook executor in platform
platform/change-bot,platform,Deployment,platform,platform,tier-1,internal,change bot in platform
platform/maintenance-window,platform,Deployment,platform,platform,tier-1,internal,maintenance window in platform
platform/upgrade-controller,platform,Deployment,platform,platform,tier-1,internal,upgrade controller in platform
platform/license-server,platform,Deployment,platform,platform,tier-1,internal,license server in platform
platform/inventory-sync,platform,Deployment,platform,platform,tier-1,internal,inventory sync in platform
platform/cmdb-connector,platform,Deployment,platform,platform,tier-1,internal,cmdb connector in platform
platform/ticket-bridge,platform,Deployment,platform,platform,tier-1,internal,ticket bridge in platform
platform/pager-bridge,platform,Deployment,platform,platform,tier-1,internal,pager bridge in platform
data-eng/spark-driver,data-eng,Deployment,data-eng,data-eng,tier-2,internal,spark driver in data-eng
data-eng/airflow-worker,data-eng,Deployment,data-eng,data-eng,tier-2,internal,airflow worker in data-eng
data-eng/airflow-scheduler,data-eng,Deployment,data-eng,data-eng,tier-2,internal,airflow scheduler in data-eng
data-eng/airflow-web,data-eng,Deployment,data-eng,data-eng,tier-2,internal,airflow web in data-eng
data-eng/spark-history,data-eng,Deployment,data-eng,data-eng,tier-2,internal,spark history in data-eng
data-eng/kafka-connect,data-eng,StatefulSet,data-eng,data-eng,tier-2,internal,kafka connect in data-eng
data-eng/schema-registry,data-eng,Deployment,data-eng,data-eng,tier-2,internal,schema registry in data-eng
data-eng/debezium,data-eng,Deployment,data-eng,data-eng,tier-2,internal,debezium in data-eng
data-eng/flink-jobmanager,data-eng,Deployment,data-eng,data-eng,tier-2,internal,flink jobmanager in data-eng
data-eng/flink-taskmanager,data-eng,Deployment,data-eng,data-eng,tier-2,internal,flink taskmanager in data-eng
data-eng/trino-coordinator,data-eng,Deployment,data-eng,data-eng,tier-2,internal,trino coordinator in data-eng
data-eng/trino-worker,data-eng,Deployment,data-eng,data-eng,tier-2,internal,trino worker in data-eng
data-eng/hive-metastore,data-eng,StatefulSet,data-eng,data-eng,tier-2,internal,hive metastore in data-eng
data-eng/iceberg-catalog,data-eng,Deployment,data-eng,data-eng,tier-2,internal,iceberg catalog in data-eng
data-eng/dbt-runner,data-eng,Deployment,data-eng,data-eng,tier-2,internal,dbt runner in data-eng
data-eng/great-expectations,data-eng,Deployment,data-eng,data-eng,tier-2,internal,great expectations in data-eng
data-eng/data-catalog,data-eng,Deployment,data-eng,data-eng,tier-2,internal,data catalog in data-eng
data-eng/lineage-api,data-eng,Deployment,data-eng,data-eng,tier-2,internal,lineage api in data-eng
data-eng/warehouse-loader,data-eng,Deployment,data-eng,data-eng,tier-2,internal,warehouse loader in data-eng
data-eng/lakehouse-compactor,data-eng,Deployment,data-eng,data-eng,tier-2,internal,lakehouse compactor in data-eng
data-eng/parquet-writer,data-eng,Deployment,data-eng,data-eng,tier-2,internal,parquet writer in data-eng
data-eng/cdc-consumer,data-eng,Deployment,data-eng,data-eng,tier-2,internal,cdc consumer in data-eng
data-eng/event-router,data-eng,Deployment,data-eng,data-eng,tier-2,internal,event router in data-eng
data-eng/clickstream-ingest,data-eng,Deployment,data-eng,data-eng,tier-2,internal,clickstream ingest in data-eng
data-eng/sessionizer,data-eng,Deployment,data-eng,data-eng,tier-2,internal,sessionizer in data-eng
data-eng/dedupe-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,dedupe job in data-eng
data-eng/pii-scrubber,data-eng,Deployment,data-eng,data-eng,tier-2,internal,pii scrubber in data-eng
data-eng/tokenization-service,data-eng,Deployment,data-eng,data-eng,tier-2,internal,tokenization service in data-eng
data-eng/masking-proxy,data-eng,Deployment,data-eng,data-eng,tier-2,internal,masking proxy in data-eng
data-eng/s3-sync,data-eng,Deployment,data-eng,data-eng,tier-2,internal,s3 sync in data-eng
data-eng/gcs-sync,data-eng,Deployment,data-eng,data-eng,tier-2,internal,gcs sync in data-eng
data-eng/sftp-gateway,data-eng,Deployment,data-eng,data-eng,tier-2,internal,sftp gateway in data-eng
data-eng/ftp-poller,data-eng,Deployment,data-eng,data-eng,tier-2,internal,ftp poller in data-eng
data-eng/api-poller,data-eng,Deployment,data-eng,data-eng,tier-2,internal,api poller in data-eng
data-eng/webhook-ingest,data-eng,Deployment,data-eng,data-eng,tier-2,internal,webhook ingest in data-eng
data-eng/log-parser,data-eng,Deployment,data-eng,data-eng,tier-2,internal,log parser in data-eng
data-eng/metrics-rollup,data-eng,Deployment,data-eng,data-eng,tier-2,internal,metrics rollup in data-eng
data-eng/cost-model,data-eng,Deployment,data-eng,data-eng,tier-2,internal,cost model in data-eng
data-eng/forecast-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,forecast job in data-eng
data-eng/anomaly-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,anomaly job in data-eng
data-eng/report-builder,data-eng,Deployment,data-eng,data-eng,tier-2,internal,report builder in data-eng
data-eng/dashboard-refresh,data-eng,Deployment,data-eng,data-eng,tier-2,internal,dashboard refresh in data-eng
data-eng/notebook-scheduler,data-eng,Deployment,data-eng,data-eng,tier-2,internal,notebook scheduler in data-eng
data-eng/query-cache,data-eng,Deployment,data-eng,data-eng,tier-2,internal,query cache in data-eng
data-eng/result-store,data-eng,StatefulSet,data-eng,data-eng,tier-2,internal,result store in data-eng
data-eng/export-service,data-eng,Deployment,data-eng,data-eng,tier-2,internal,export service in data-eng
data-eng/share-service,data-eng,Deployment,data-eng,data-eng,tier-2,internal,share service in data-eng
data-eng/access-audit,data-eng,Deployment,data-eng,data-eng,tier-2,internal,access audit in data-eng
data-eng/quota-enforcer,data-eng,Deployment,data-eng,data-eng,tier-2,internal,quota enforcer in data-eng
data-eng/retention-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,retention job in data-eng
data-eng/archive-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,archive job in data-eng
data-eng/restore-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,restore job in data-eng
data-eng/replication-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,replication job in data-eng
data-eng/backfill-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,backfill job in data-eng
data-eng/quality-monitor,data-eng,Deployment,data-eng,data-eng,tier-2,internal,quality monitor in data-eng
data-eng/sla-monitor,data-eng,Deployment,data-eng,data-eng,tier-2,internal,sla monitor in data-eng
data-eng/freshness-monitor,data-eng,Deployment,data-eng,data-eng,tier-2,internal,freshness monitor in data-eng
data-eng/schema-drift,data-eng,Deployment,data-eng,data-eng,tier-2,internal,schema drift in data-eng
data-eng/contract-checker,data-eng,Deployment,data-eng,data-eng,tier-2,internal,contract checker in data-eng
data-eng/test-runner,data-eng,Deployment,data-eng,data-eng,tier-2,internal,test runner in data-eng
data-eng/staging-loader,data-eng,Deployment,data-eng,data-eng,tier-2,internal,staging loader in data-eng
data-eng/prod-loader,data-eng,Deployment,data-eng,data-eng,tier-2,internal,prod loader in data-eng
data-eng/sandbox-loader,data-eng,Deployment,data-eng,data-eng,tier-2,internal,sandbox loader in data-eng
data-eng/feature-pipeline,data-eng,Deployment,data-eng,data-eng,tier-2,internal,feature pipeline in data-eng
data-eng/embedding-pipeline,data-eng,Deployment,data-eng,data-eng,tier-2,internal,embedding pipeline in data-eng
data-eng/label-pipeline,data-eng,Deployment,data-eng,data-eng,tier-2,internal,label pipeline in data-eng
data-eng/sampling-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,sampling job in data-eng
data-eng/join-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,join job in data-eng
data-eng/aggregation-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,aggregation job in data-eng
data-eng/window-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,window job in data-eng
data-eng/stream-enricher,data-eng,Deployment,data-eng,data-eng,tier-2,internal,stream enricher in data-eng
data-eng/geo-enricher,data-eng,Deployment,data-eng,data-eng,tier-2,internal,geo enricher in data-eng
data-eng/ip-enricher,data-eng,Deployment,data-eng,data-eng,tier-2,internal,ip enricher in data-eng
data-eng/ua-parser,data-eng,Deployment,data-eng,data-eng,tier-2,internal,ua parser in data-eng
data-eng/currency-converter,data-eng,Deployment,data-eng,data-eng,tier-2,internal,currency converter in data-eng
data-eng/tax-calculator,data-eng,Deployment,data-eng,data-eng,tier-2,internal,tax calculator in data-eng
data-eng/billing-export,data-eng,Deployment,data-eng,data-eng,tier-2,internal,billing export in data-eng
data-eng/invoice-job,data-eng,Deployment,data-eng,data-eng,tier-2,internal,invoice job in data-eng
data-eng/ledger-sync,data-eng,Deployment,data-eng,data-eng,tier-2,internal,ledger sync in data-eng
data-eng/finance-report,data-eng,Deployment,data-eng,data-eng,tier-2,internal,finance report in data-eng
vm-legacy/erp-batch,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,erp batch in vm-legacy
vm-legacy/erp-web,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,erp web in vm-legacy
vm-legacy/erp-db,vm-legacy,StatefulSet,erp-ops,erp-ops,tier-2,restricted,erp db in vm-legacy
vm-legacy/erp-print,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,erp print in vm-legacy
vm-legacy/payroll-batch,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,payroll batch in vm-legacy
vm-legacy/hr-portal,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,hr portal in vm-legacy
vm-legacy/crm-legacy,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,crm legacy in vm-legacy
vm-legacy/crm-db,vm-legacy,StatefulSet,erp-ops,erp-ops,tier-2,internal,crm db in vm-legacy
vm-legacy/file-server,vm-legacy,StatefulSet,erp-ops,erp-ops,tier-2,internal,file server in vm-legacy
vm-legacy/print-server,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,print server in vm-legacy
vm-legacy/fax-gateway,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,fax gateway in vm-legacy
vm-legacy/edi-translator,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,edi translator in vm-legacy
vm-legacy/edi-gateway,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,edi gateway in vm-legacy
vm-legacy/mainframe-bridge,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,mainframe bridge in vm-legacy
vm-legacy/tn3270-proxy,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,tn3270 proxy in vm-legacy
vm-legacy/ldap-legacy,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,ldap legacy in vm-legacy
vm-legacy/wins,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,wins in vm-legacy
vm-legacy/legacy-backup,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,legacy backup in vm-legacy
vm-legacy/report-server,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,report server in vm-legacy
vm-legacy/bi-cube,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,bi cube in vm-legacy
vm-legacy/jasper,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,jasper in vm-legacy
vm-legacy/cognos,vm-legacy,Deployment,erp-ops,erp-ops,tier-2,internal,cognos in vm-legacy
ml-notebooks/jupyter,ml-notebooks,Deployment,ml-research,ml-research,tier-2,internal,jupyter in ml-notebooks
ml-notebooks/nb-snakamura,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb snakamura in ml-notebooks
ml-notebooks/nb-pusman,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb pusman in ml-notebooks
ml-notebooks/nb-ytorres,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb ytorres in ml-notebooks
ml-notebooks/nb-bnakamura,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb bnakamura in ml-notebooks
ml-notebooks/nb-rgupta,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb rgupta in ml-notebooks
ml-notebooks/nb-btanaka,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb btanaka in ml-notebooks
ml-notebooks/nb-amoreau,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb amoreau in ml-notebooks
ml-notebooks/nb-vquinn,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb vquinn in ml-notebooks
ml-notebooks/nb-tadler,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tadler in ml-notebooks
ml-notebooks/nb-htanaka,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb htanaka in ml-notebooks
ml-notebooks/nb-dkaur,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb dkaur in ml-notebooks
ml-notebooks/nb-nulrich,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nulrich in ml-notebooks
ml-notebooks/nb-ffischer,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb ffischer in ml-notebooks
ml-notebooks/nb-fgarcia,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb fgarcia in ml-notebooks
ml-notebooks/nb-vmoreau,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb vmoreau in ml-notebooks
ml-notebooks/nb-tfontaine,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tfontaine in ml-notebooks
ml-notebooks/nb-nquinn,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nquinn in ml-notebooks
ml-notebooks/nb-gkaur,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb gkaur in ml-notebooks
ml-notebooks/nb-kbrennan,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb kbrennan in ml-notebooks
ml-notebooks/nb-thaddad,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb thaddad in ml-notebooks
ml-notebooks/nb-szielinski,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb szielinski in ml-notebooks
ml-notebooks/nb-gtanaka,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb gtanaka in ml-notebooks
ml-notebooks/nb-bbrennan,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb bbrennan in ml-notebooks
ml-notebooks/nb-seriksen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb seriksen in ml-notebooks
ml-notebooks/nb-lmoreau,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb lmoreau in ml-notebooks
ml-notebooks/nb-wtorres,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb wtorres in ml-notebooks
ml-notebooks/nb-nzhang,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nzhang in ml-notebooks
ml-notebooks/nb-byilmaz,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb byilmaz in ml-notebooks
ml-notebooks/nb-byamamoto,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb byamamoto in ml-notebooks
ml-notebooks/nb-mmoreau,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb mmoreau in ml-notebooks
ml-notebooks/nb-yzhang,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb yzhang in ml-notebooks
ml-notebooks/nb-axu,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb axu in ml-notebooks
ml-notebooks/nb-bcastillo,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb bcastillo in ml-notebooks
ml-notebooks/nb-mito,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb mito in ml-notebooks
ml-notebooks/nb-rjimenez,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb rjimenez in ml-notebooks
ml-notebooks/nb-polsen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb polsen in ml-notebooks
ml-notebooks/nb-drossi,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb drossi in ml-notebooks
ml-notebooks/nb-ahaddad,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb ahaddad in ml-notebooks
ml-notebooks/nb-hvasquez,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb hvasquez in ml-notebooks
ml-notebooks/nb-tyamamoto,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tyamamoto in ml-notebooks
ml-notebooks/nb-husman,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb husman in ml-notebooks
ml-notebooks/nb-mrossi,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb mrossi in ml-notebooks
ml-notebooks/nb-tmendes,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tmendes in ml-notebooks
ml-notebooks/nb-jrahman,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb jrahman in ml-notebooks
ml-notebooks/nb-tcastillo,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tcastillo in ml-notebooks
ml-notebooks/nb-gsingh,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb gsingh in ml-notebooks
ml-notebooks/nb-tfischer,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tfischer in ml-notebooks
ml-notebooks/nb-wwagner,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb wwagner in ml-notebooks
ml-notebooks/nb-dvasquez,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb dvasquez in ml-notebooks
ml-notebooks/nb-jibrahim,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb jibrahim in ml-notebooks
ml-notebooks/nb-yokafor,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb yokafor in ml-notebooks
ml-notebooks/nb-azielinski,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb azielinski in ml-notebooks
ml-notebooks/nb-yvarga,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb yvarga in ml-notebooks
ml-notebooks/nb-dbaptiste,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb dbaptiste in ml-notebooks
ml-notebooks/nb-nito,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nito in ml-notebooks
ml-notebooks/nb-chaddad,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb chaddad in ml-notebooks
ml-notebooks/nb-brahman,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb brahman in ml-notebooks
ml-notebooks/nb-elindqvist,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb elindqvist in ml-notebooks
ml-notebooks/nb-ekaur,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb ekaur in ml-notebooks
ml-notebooks/nb-vxu,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb vxu in ml-notebooks
ml-notebooks/nb-nyamamoto,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nyamamoto in ml-notebooks
ml-notebooks/nb-fgupta,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb fgupta in ml-notebooks
ml-notebooks/nb-vjensen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb vjensen in ml-notebooks
ml-notebooks/nb-susman,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb susman in ml-notebooks
ml-notebooks/nb-dsingh,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb dsingh in ml-notebooks
ml-notebooks/nb-ctanaka,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb ctanaka in ml-notebooks
ml-notebooks/nb-jjimenez,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb jjimenez in ml-notebooks
ml-notebooks/nb-ypatel,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb ypatel in ml-notebooks
ml-notebooks/nb-fusman,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb fusman in ml-notebooks
ml-notebooks/nb-dfontaine,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb dfontaine in ml-notebooks
ml-notebooks/nb-kvasquez,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb kvasquez in ml-notebooks
ml-notebooks/nb-kito,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb kito in ml-notebooks
ml-notebooks/nb-kkaur,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb kkaur in ml-notebooks
ml-notebooks/nb-solsen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb solsen in ml-notebooks
ml-notebooks/nb-julrich,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb julrich in ml-notebooks
ml-notebooks/nb-lcastillo,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb lcastillo in ml-notebooks
ml-notebooks/nb-gulrich,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb gulrich in ml-notebooks
ml-notebooks/nb-rito,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb rito in ml-notebooks
ml-notebooks/nb-scastillo,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb scastillo in ml-notebooks
ml-notebooks/nb-wchen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb wchen in ml-notebooks
ml-notebooks/nb-gzielinski,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb gzielinski in ml-notebooks
ml-notebooks/nb-whoffmann,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb whoffmann in ml-notebooks
ml-notebooks/nb-wpereira,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb wpereira in ml-notebooks
ml-notebooks/nb-jlarsson,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb jlarsson in ml-notebooks
ml-notebooks/nb-hdimitrov,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb hdimitrov in ml-notebooks
ml-notebooks/nb-rlindqvist,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb rlindqvist in ml-notebooks
ml-notebooks/nb-abrennan,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb abrennan in ml-notebooks
ml-notebooks/nb-nolsen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nolsen in ml-notebooks
ml-notebooks/nb-tdubois,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tdubois in ml-notebooks
ml-notebooks/nb-srahman,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb srahman in ml-notebooks
ml-notebooks/nb-rolsen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb rolsen in ml-notebooks
ml-notebooks/nb-nesposito,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nesposito in ml-notebooks
ml-notebooks/nb-pchen,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb pchen in ml-notebooks
ml-notebooks/nb-nnakamura,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nnakamura in ml-notebooks
ml-notebooks/nb-mokafor,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb mokafor in ml-notebooks
ml-notebooks/nb-kkowalski,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb kkowalski in ml-notebooks
ml-notebooks/nb-fquinn,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb fquinn in ml-notebooks
ml-notebooks/nb-sesposito,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb sesposito in ml-notebooks
ml-notebooks/nb-agarcia,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb agarcia in ml-notebooks
ml-notebooks/nb-plindqvist,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb plindqvist in ml-notebooks
ml-notebooks/nb-gyilmaz,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb gyilmaz in ml-notebooks
ml-notebooks/nb-nokafor,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb nokafor in ml-notebooks
ml-notebooks/nb-rvarga,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb rvarga in ml-notebooks
ml-notebooks/nb-atorres,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb atorres in ml-notebooks
ml-notebooks/nb-lvasquez,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb lvasquez in ml-notebooks
ml-notebooks/nb-rdubois,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb rdubois in ml-notebooks
ml-notebooks/nb-tvasquez,ml-notebooks,StatefulSet,ml-research,ml-research,tier-2,internal,nb tvasquez in ml-notebooks
